scenario,period,line_item,category,amount_usd,plates_or_units,notes
mobile_popup,week_steady,plates_sold_total,volume,0,80,Mid capacity path; weekly plates=80
mobile_popup,week_steady,rev_pickup_20,revenue,800.0,40,$20 local pickup
mobile_popup,week_steady,rev_live_drop_cash_20,revenue,160.0,8,TikTok live / Cash App cash component @ $20
mobile_popup,week_steady,rev_doordash_menu_26,revenue,312.0,12,DD menu $26 (premium vs $20 local)
mobile_popup,week_steady,rev_overnight_dinner_20,revenue,160.0,8,Dinner portion of overnight
mobile_popup,week_steady,rev_overnight_ship_65,revenue,520.0,8,Customer ship charge mid-zone $65
mobile_popup,week_steady,rev_local_delivery_dinner_20,revenue,240.0,12,Dinner on local delivery
mobile_popup,week_steady,rev_local_delivery_fee_12,revenue,144.0,12,Mandatory $12 SoCal delivery fee
mobile_popup,week_steady,revenue_total,revenue,2336.0,80,Sum of channel revenues
mobile_popup,week_steady,cogs_food_3_70,cogs,296.0,80,Mid plate COGS $3.70 (consistent with cogs CSV)
mobile_popup,week_steady,pack_bags_utensils_extra,cogs,20.0,80,~$0.25/plate beyond food COGS pack rollup
mobile_popup,week_steady,doordash_commission_25pct,fees,78.0,12,25% of $26 menu
mobile_popup,week_steady,doordash_drive_courier_cost,fulfillment,119.4,12,Drive ~$9.95/drop mid CA
mobile_popup,week_steady,uline_ship_BOM_beyond_cogs,fulfillment,614.16,8,Pack+label+media+postage so overnight nets ~$4.53 mid
mobile_popup,week_steady,payment_processing_fees,fees,48.6,,~2.5% blended on card/app portion
mobile_popup,week_steady,gas_mileage,opex,45.0,,Market runs + courier assist mid
mobile_popup,week_steady,permits_amortized,opex,15.0,,MEHKO/seller/health amort. weekly
mobile_popup,week_steady,insurance_mobile,opex,20.0,,Low fixed; ~$80/mo → ~$20/wk
mobile_popup,week_steady,phone_data,opex,15.0,,Business line / hotspot
mobile_popup,week_steady,ads_boost_budget,opex,25.0,,TikTok/Meta test boost mid
mobile_popup,week_steady,opex_subtotal_excl_mom,opex,120.0,,Gas+permits+ins+phone+ads
mobile_popup,week_steady,mom_labor_hours,labor_note,0,20,Hours cooked/packed/lived (not always cash)
mobile_popup,week_steady,mom_labor_valued_20phr,labor_opportunity,400.0,,Opportunity cost @ $20/hr — subtract for true economic profit
mobile_popup,week_steady,SUMMARY_net_profit_cash,summary,1039.84,80,Revenue − COGS − fees − fulfillment − opex (BEFORE Mom labor value). NOT financial advice.
mobile_popup,week_steady,SUMMARY_net_profit_after_mom_labor,summary,639.84,80,Cash net − Mom labor valued @ $20/hr
mobile_popup,month_1,plates_sold_total,volume,0,238,Month = 4.33× weeks @ ~55 plates/wk mid path
mobile_popup,month_1,rev_pickup_20,revenue,2338.2,117,$20 local pickup
mobile_popup,month_1,rev_live_drop_cash_20,revenue,519.6,26,TikTok live / Cash App cash component @ $20
mobile_popup,month_1,rev_doordash_menu_26,revenue,900.64,35,DD menu $26 (premium vs $20 local)
mobile_popup,month_1,rev_overnight_dinner_20,revenue,519.6,26,Dinner portion of overnight
mobile_popup,month_1,rev_overnight_ship_65,revenue,1688.7,26,Customer ship charge mid-zone $65
mobile_popup,month_1,rev_local_delivery_dinner_20,revenue,692.8,35,Dinner on local delivery
mobile_popup,month_1,rev_local_delivery_fee_12,revenue,415.68,35,Mandatory $12 SoCal delivery fee
mobile_popup,month_1,revenue_total,revenue,7075.22,238,Sum of channel revenues
mobile_popup,month_1,cogs_food_3_70,cogs,881.15,238,Mid plate COGS $3.70 (consistent with cogs CSV)
mobile_popup,month_1,pack_bags_utensils_extra,cogs,59.54,238,~$0.25/plate beyond food COGS pack rollup
mobile_popup,month_1,doordash_commission_25pct,fees,225.16,35,25% of $26 menu
mobile_popup,month_1,doordash_drive_courier_cost,fulfillment,344.67,35,Drive ~$9.95/drop mid CA
mobile_popup,month_1,uline_ship_BOM_beyond_cogs,fulfillment,1994.48,26,Pack+label+media+postage so overnight nets ~$4.53 mid
mobile_popup,month_1,payment_processing_fees,fees,147.87,,~2.5% blended on card/app portion
mobile_popup,month_1,gas_mileage,opex,194.85,,Market runs + courier assist mid
mobile_popup,month_1,permits_amortized,opex,64.95,,MEHKO/seller/health amort. weekly
mobile_popup,month_1,insurance_mobile,opex,86.6,,Low fixed; ~$80/mo → ~$20/wk
mobile_popup,month_1,phone_data,opex,64.95,,Business line / hotspot
mobile_popup,month_1,ads_boost_budget,opex,108.25,,TikTok/Meta test boost mid
mobile_popup,month_1,opex_subtotal_excl_mom,opex,519.6,,Gas+permits+ins+phone+ads
mobile_popup,month_1,mom_labor_hours,labor_note,0,86.6,Hours cooked/packed/lived (not always cash)
mobile_popup,month_1,mom_labor_valued_20phr,labor_opportunity,1732.0,,Opportunity cost @ $20/hr — subtract for true economic profit
mobile_popup,month_1,SUMMARY_net_profit_cash,summary,2902.75,238,Revenue − COGS − fees − fulfillment − opex (BEFORE Mom labor value). NOT financial advice.
mobile_popup,month_1,SUMMARY_net_profit_after_mom_labor,summary,1170.75,238,Cash net − Mom labor valued @ $20/hr
mobile_popup,month_6,plates_sold_total,volume,0,411,Month = 4.33× weeks @ ~95 plates/wk mid path
mobile_popup,month_6,rev_pickup_20,revenue,4070.2,204,$20 local pickup
mobile_popup,month_6,rev_live_drop_cash_20,revenue,866.0,43,TikTok live / Cash App cash component @ $20
mobile_popup,month_6,rev_doordash_menu_26,revenue,1576.12,61,DD menu $26 (premium vs $20 local)
mobile_popup,month_6,rev_overnight_dinner_20,revenue,866.0,43,Dinner portion of overnight
mobile_popup,month_6,rev_overnight_ship_65,revenue,2814.5,43,Customer ship charge mid-zone $65
mobile_popup,month_6,rev_local_delivery_dinner_20,revenue,1212.4,61,Dinner on local delivery
mobile_popup,month_6,rev_local_delivery_fee_12,revenue,727.44,61,Mandatory $12 SoCal delivery fee
mobile_popup,month_6,revenue_total,revenue,12132.66,411,Sum of channel revenues
mobile_popup,month_6,cogs_food_3_70,cogs,1522.0,411,Mid plate COGS $3.70 (consistent with cogs CSV)
mobile_popup,month_6,pack_bags_utensils_extra,cogs,102.84,411,~$0.25/plate beyond food COGS pack rollup
mobile_popup,month_6,doordash_commission_25pct,fees,394.03,61,25% of $26 menu
mobile_popup,month_6,doordash_drive_courier_cost,fulfillment,603.17,61,Drive ~$9.95/drop mid CA
mobile_popup,month_6,uline_ship_BOM_beyond_cogs,fulfillment,3324.14,43,Pack+label+media+postage so overnight nets ~$4.53 mid
