category,item,variant_or_source,unit,pack_size,pack_price_usd,unit_cost_usd,qty_per_plate,cost_per_plate_low_usd,cost_per_plate_mid_usd,cost_per_plate_high_usd,suggested_sell_price_usd,sell_price_low_usd,sell_price_high_usd,margin_at_mid_cogs_pct,channel_or_scenario,notes,confidence,source_or_date
chicken,chicken_drums,USDA FOB,lb,,,0.54,0.60,0.30,0.32,0.41,,,,,wholesale_signal,USDA FOB drums week ending Sep 18 2026; plate build ~0.55-0.70 lb for 2 drums; mid qty 0.60 lb,sourced,USDA AMS poultry; week ending 2026-09-18
chicken,chicken_wings,USDA FOB,lb,,,1.11,0.40,0.40,0.44,0.55,,,,,wholesale_signal,USDA FOB wings; used when plate is 1 drum + 2 wings mix,sourced,USDA AMS poultry; week ending 2026-09-18
chicken,chicken_drums,Restaurant Depot jumbo,lb,~40 lb case,39.60,0.99,0.60,0.54,0.59,0.74,,,,,depot_path,Jumbo drums ~$0.99/lb; ~40 lb case; preferred wholesale path for fried chicken plates,sourced,Restaurant Depot; research 2026-09-22
chicken,chicken_wings,Restaurant Depot whole jumbo,lb,,,1.87,0.40,0.67,0.75,0.93,,,,,depot_path,Whole jumbo wings at RD; higher $/lb than drums,sourced,Restaurant Depot; research 2026-09-22
chicken,chicken_drums,Walmart store brand,lb,5 lb bag,5.70,1.14,0.60,0.60,0.68,0.83,,,,,walmart_path,Walmart drums ~$1.09-1.19/lb in 5 lb bag; mid unit $1.14,sourced,Walmart retail; research 2026-09-22
chicken,chicken_drums,Walmart Perdue,lb,,,2.20,0.60,1.15,1.32,1.74,,,,,walmart_path,Perdue branded drums ~$2.09-2.32/lb; expensive for plate economics,sourced,Walmart retail; research 2026-09-22
chicken,chicken_wings,Walmart,lb,,,3.84,0.40,1.38,1.54,1.92,,,,,walmart_path,Retail wings ~$3.84/lb; avoid for volume plates,sourced,Walmart retail; research 2026-09-22
chicken,plate_build_2_drums,planning default,lb raw,,,,0.60,,,,,,,,all,2 drums ~0.55-0.70 lb raw; planning default mid 0.60 lb / high 0.75 lb,estimate,plate build research 2026-09-22
chicken,plate_build_1_drum_2_wings,alternate build,plate,,,,1,,,,,,,,all,Alternate protein mix: 1 drum + 2 wings; cost depends on wing vs drum mix and source,estimate,plate build research 2026-09-22
chicken,breading_seasoning,flour spices blend,plate,,,,1,0.15,0.22,0.30,,,,,all,Breading and seasoning allocation per fried chicken plate,estimate,research 2026-09-22
chicken,fry_oil_allocation,shared fryer oil,plate,,,,1,0.20,0.30,0.40,,,,,all,Amortized fry oil absorption and discard per plate,estimate,research 2026-09-22
chicken,chicken_line_total,protein+breading+oil rollup,plate,,,,1,0.70,1.10,2.50,,,,,planning,Planning band for full chicken line (meat + breading + oil); high reflects Perdue/retail wings path,calculated,rollup from research 2026-09-22
