section,metric,channel_or_partner,unit,value_low,value_mid,value_high,currency_or_pct,notes,confidence,source_or_date
highlight,H1_50plate_sellout_revenue,Soul Food Pop,USD,1000,1000,1000,USD,"50×$20 sellout gross = $1,000",calculated,rollup 2026-09-22
highlight,H2_contrib_local_20_mid_cogs,local pickup,USD_per_plate,16.3,16.3,16.3,USD,$20 − $3.70 COGS = $16.30 contribution (81.5%),calculated,rollup 2026-09-22
highlight,H3_doordash_25pct_fee_impact,DoorDash Plus on $20,USD,5.0,11.3,11.3,USD,25% fee=$5; contrib after fee+COGS=$11.30 (−$5 vs local),calculated,rollup 2026-09-22
highlight,H4_net30_cashflow_50plate_week,Uline/trade credit float,USD,150,220,350,USD,Defer ~$185–$350 of weekly COGS/supplies 30 days,calculated,rollup 2026-09-22
highlight,H5_social_cpa_vs_margin,paid social vs $16.30,USD,4,8,18,USD,Target CPA mid ~$8 << $16.30 contrib; pause if CPA>$12,calculated,rollup 2026-09-22
highlight,H6_ship_profit_mid_65,overnight 1plate mid,USD,4.53,4.53,4.53,USD,$65 ship + $20 dinner → ~$4.53 total profit mid-zone,calculated,rollup 2026-09-22
highlight,H7_local_delivery_mandatory_fee,SoCal policy,USD_fee,12,12,12,USD,Charge customer $12 delivery (covers Drive ~$9.95 + buffer),calculated,rollup 2026-09-22
highlight,H8_drive_vs_marketplace,DoorDash Drive flat,USD_per_drop,6.99,9.95,10.99,USD,Flat courier beats 25% commission on orders ≳$40; at $20 still prefer pass-through Direct over Marketplace,calculated,rollup 2026-09-22
highlight,H9_plate_club_contrib,Plate Club $10,USD,6.3,6.3,6.3,USD,Half-off still +$6.30 / 63% margin at mid COGS,calculated,rollup 2026-09-22
highlight,H10_channel_rank_best_net,priority order,rank,1,1,1,flag,local cash > local delivery+fee > overnight ship > marketplace@25%,calculated,rollup 2026-09-22
highlight,H11_uber_lyft_passenger_risk,UberX/Lyft ToS,flag,1,1,1,flag,Do NOT use passenger rideshare for commercial food drops — prefer Drive/Direct/courier,calculated,rollup 2026-09-22
highlight,H12_phase1_weekly_target,roadmap,plates_per_week,40,45,50,count,Phase 1 steady target before scale,calculated,rollup 2026-09-22
highlight,H13_rewards_cycle_profit,buy5+6th@$5,USD_per_6,82.8,82.8,82.8,USD,$105 rev − $22.20 COGS = $82.80,calculated,rollup 2026-09-22
highlight,H14_uline_starter_kit,overnight BOM,USD,175,175,175,USD,~10 shippers + gels + heat + labels,calculated,rollup 2026-09-22
highlight,H15_live_conversion,TikTok Live,pct,2,3.5,5,pct,Viewer→buyer assumption until measured,calculated,rollup 2026-09-22
