category,item,variant,unit,pack_price_usd,unit_cost_usd,weight_lb,dims_in,ship_zone_example,carrier_service,ship_rate_low_usd,ship_rate_mid_usd,ship_rate_high_usd,packaging_cost_usd,cold_or_hot_media_usd,total_fulfill_cost_usd,menu_price_usd,customer_ship_charge_usd,gross_profit_usd,gross_margin_pct,notes,confidence,source_or_date
bom,uline_foam_kit_1plate,S-11356 12x10x5 foam kit,each,64.00,12.00,3.5,15.75x13.8x8.75,,,,,,,,,,,,,Primary overnight outer for 1 plate; list ~$64/ctn — mid unit $12 assumes volume/alt buy; viable hot OR cold vessel,sourced,Uline S-11356 fetched 2026-09-22; unit mid ESTIMATE
bom,uline_foam_kit_mealprep,S-13392 12x12x11.5 foam kit,each,37.00,12.00,5.85,16.9x16.9x20.4,,,,,,,,,,,,,2-4 meal pack vessel; list ~$35-37; mid unit $12 volume estimate,sourced,Uline S-13392 fetched 2026-09-22
bom,uline_thermal_liner,Cool Shield S-16497,each,61.00,2.44,0.3,fits small box,,,,,,,,,,,,,24hr liner path; pair with $1.50 box; lighter DIM weight than foam,sourced,Uline liners page 2026-09-22
bom,corrugated_box_small,generic / Uline,each,,1.50,0.6,12x10x6,,,,,,,,,,,,,Outer for liner path,estimate,est 2026-09-22
bom,inner_food_tray,9x9 3-comp or foil 9x6,each,38.00,0.30,0.15,9x9x3,,,,,,,,,,,,,Inner plate tray already in COGS ~$0.25-0.42,sourced,Webstaurant/Uline from cogs CSV 2026-09-22
bom,gel_pack_32oz_x2,Uline S-14293 cold path,set,15.00,3.34,4.0,,,,,,,,,,,,,,$15/9 packs → $1.67 ea; 2 packs standard 1-plate cold overnight,sourced,Uline S-14293 2026-09-22
bom,gel_pack_16oz_x3_single,Uline S-18253 one-way,set,14.00,2.33,3.0,,,,,,,,,,,,,,3x16oz single-use; lower outbound cost,sourced,Uline S-18253 2026-09-22
bom,heat_pack_x2,UniHeat-style instant,set,,4.50,1.0,,,,,,,,,,,,,,2 instant heat packs for hot overnight in Uline insulated; ESTIMATE $2-3 ea,estimate,third-party heat pack est 2026-09-22
bom,gel_as_heat_sink_x2,Uline gel microwaved warm,set,15.00,3.34,4.0,,,,,,,,,,,,,,Uline-documented heat-sink method; viable hot media using same gel SKUs,sourced,Uline heat-sink usage notes 2026-09-22
bom,pack_labor,8-12 min @ $20/hr,shipment,,3.33,,,,,,,,,,,,,,,Seal time before carrier cutoff; process discipline not a viability doubt,estimate,ops 2026-09-22
bom,food_cogs_dinner_20,mid sweets+roll plate,plate,,3.70,1.75,,,,,,,,,,,,,,Mid variable food+inner pack for $20 Fried Chicken Dinner,calculated,cogs rollup 2026-09-22
carrier_rate,usps_pme_5lb,Priority Mail Express retail Jul 2026,label,,,5,,Z1 near / Z4 mid / Z8 far,USPS Priority Mail Express,37.80,65.85,101.50,,,,,,,,Retail 5 lb Z1/Z4/Z8 as of Jul 12 2026; commercial lower (~$33/$59/$88). True next-day ZIP-dependent.,sourced,EasyPost USPS overnight blog Aug 3 2026; Notice 123
carrier_rate,usps_pme_2lb,Priority Mail Express retail,label,,,2,,Z1 / Z4 / Z8,USPS Priority Mail Express,36.25,49.10,72.45,,,,,,,,Lighter package if liner+heat path; DIM may still raise billable wt after Jul 2026 divisor 139,sourced,EasyPost Aug 3 2026
carrier_rate,ups_nda_5lb,UPS Next Day Air list 2026,label,,,5,,Z2 near / mid / far,UPS Next Day Air,50.54,99.05,166.28,,,,,,,,List from 2026 UPS rate preview; +residential ~$7 + fuel ~25-28% often apply — use account rates in production,sourced,UPS 2026 retail rates PDF; 3PL Center surcharge notes
carrier_rate,fedex_priority_5lb,FedEx Priority Overnight,label,,,5,,Z2 near / mid / far,FedEx Priority Overnight,48.59,85.00,140.00,,,,,,,,~$48.59 at 5 lb Z2 list-ish 2026; mid/far interpolated ESTIMATE; fuel+residential extra,estimate,Shippo/Clickpost FedEx overnight guides 2026
